player_id,player_name,shirt_number,position,substitute,date_of_birth,date_of_birth_formatted,team,opponent,team_id,opponent_id,home_away,match_id,match_date,liga,peso_liga,minutes_played,rating,goals,assists,birth_year,age,is_u23,reap
2067560,Abner Eduardo Ramos dos Santos,32.0,M,True,26/05/2009,26/05/2009,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,52,6.7,0,0,2009,17,True,0.0
866851,Rafael Carrilho,18.0,M,True,08/01/1995,08/01/1995,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,52,6.7,0,0,1995,31,False,0.0
1647596,Pedro Estevam,33.0,F,True,02/01/2005,02/01/2005,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,40,6.5,0,0,2005,21,True,0.0
1589491,Arthur Nether Schiling,23.0,M,True,07/11/2005,07/11/2005,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,16,7.0,0,0,2005,21,True,0.0
1631865,Raoni dos Santos Ramos,30.0,M,True,,,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,16,6.6,0,0,0,0,False,0.0
1020283,Harrison,23.0,G,False,18/08/1993,18/08/1993,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,90,6.7,0,0,1993,33,False,0.0
1631271,Kauê Leonardo,17.0,D,False,11/04/2005,11/04/2005,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,90,6.1,0,1,2005,21,True,0.0
1017618,Bruno Azevedo,14.0,D,False,25/09/1998,25/09/1998,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,50,6.6,0,0,1998,28,False,0.0
1016927,Joanderson,3.0,D,False,06/01/1999,06/01/1999,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,90,7.4,0,0,1999,27,False,0.0
1524156,João Vitor Gomes Lopes,4.0,D,False,22/11/2003,22/11/2003,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,90,6.5,0,0,2003,23,True,0.0
1469527,Rafael Soares,16.0,D,False,27/12/2004,27/12/2004,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,68,6.5,0,0,2004,22,True,0.0
878495,Vinicius Jau,11.0,M,False,03/04/1998,03/04/1998,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,68,6.2,0,0,1998,28,False,0.0
871168,Rodolfo Potiguar,5.0,M,False,24/01/1988,24/01/1988,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,50,6.6,0,0,1988,38,False,0.0
1199393,Caio Rafael,10.0,M,False,14/06/2004,14/06/2004,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,90,6.6,0,0,2004,22,True,0.0
870882,Emerson Carioca,25.0,F,False,07/12/1995,07/12/1995,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,90,7.0,1,0,1995,31,False,0.0
1161038,Vinícius,22.0,F,False,10/09/1999,10/09/1999,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,90,6.8,0,0,1999,27,False,0.0
1189875,Pedro Henrique da Rosa,2.0,D,True,14/04/2003,14/04/2003,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,52,6.3,0,0,2003,23,True,0.0
1046554,Figueiredo,20.0,M,True,25/04/2002,25/04/2002,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,52,6.4,0,0,2002,24,False,0.0
1170969,Talys,6.0,D,True,22/05/1995,22/05/1995,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,34,6.6,0,0,1995,31,False,0.0
1016998,Lucas Vital,15.0,M,True,21/05/2001,21/05/2001,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,34,6.7,0,0,2001,25,False,0.0
2033845,Daniel Bolt,13.0,D,True,05/09/2005,05/09/2005,CA Linense,Ferroviária,47503.0,35285.0,away,15180168,07/03/2026,Paulista A2,0.65,1,0.0,0,0,2005,21,True,0.0
